id;bps_nama_kabupaten_kota;bps_kode_kecamatan;bps_nama_kecamatan;bps_kode_desa_kelurahan;bps_desa_kelurahan;kemendagri_kode_kecamatan;kemendagri_nama_kecamatan;KODE_KD;kemendagri_nama_desa_kelurahan;jumlah_kk;semester;tahun
1;KOTA BANDUNG;3273180;ANDIR;3273180001;CAMPAKA;32.73.05;ANDIR;32.73.05.1006;CAMPAKA;5420;1;2017
2;KOTA BANDUNG;3273180;ANDIR;3273180005;CIROYOM;32.73.05;ANDIR;32.73.05.1003;CIROYOM;6044;1;2017
3;KOTA BANDUNG;3273180;ANDIR;3273180004;DUNGUS CARIANG;32.73.05;ANDIR;32.73.05.1002;DUNGUS CARIANG;6028;1;2017
4;KOTA BANDUNG;3273180;ANDIR;3273180003;GARUDA;32.73.05;ANDIR;32.73.05.1005;GARUDA;3361;1;2017
5;KOTA BANDUNG;3273180;ANDIR;3273180006;KEBON JERUK;32.73.05;ANDIR;32.73.05.1004;KEBON JERUK;4479;1;2017
6;KOTA BANDUNG;3273180;ANDIR;3273180002;MALEBER;32.73.05;ANDIR;32.73.05.1001;MALEBER;6370;1;2017
7;KOTA BANDUNG;3273141;ANTAPANI;3273141001;ANTAPANI KIDUL;32.73.20;ANTAPANI;32.73.20.1005;ANTAPANI KIDUL;7339;1;2017
8;KOTA BANDUNG;3273141;ANTAPANI;3273141004;ANTAPANI KULON;32.73.20;ANTAPANI;32.73.20.1001;ANTAPANI KULON;3146;1;2017
9;KOTA BANDUNG;3273141;ANTAPANI;3273141002;ANTAPANI TENGAH;32.73.20;ANTAPANI;32.73.20.1004;ANTAPANI TENGAH;6877;1;2017
10;KOTA BANDUNG;3273141;ANTAPANI;3273141003;ANTAPANI WETAN;32.73.20;ANTAPANI;32.73.20.1006;ANTAPANI WETAN;5315;1;2017
11;KOTA BANDUNG;3273130;ARCAMANIK;3273130002;CISARANTEN BINA HARAPAN;32.73.24;ARCAMANIK;32.73.24.1002;CISARANTEN BINA HARAPAN;3553;1;2017
12;KOTA BANDUNG;3273130;ARCAMANIK;3273130001;CISARANTEN KULON;32.73.24;ARCAMANIK;32.73.24.1003;CISARANTEN KULON;6414;1;2017
13;KOTA BANDUNG;3273130;ARCAMANIK;3273130005;CISARANTEN ENDAH;32.73.24;ARCAMANIK;32.73.24.1004;CISARANTEN ENDAH;5474;1;2017
14;KOTA BANDUNG;3273130;ARCAMANIK;3273130003;SUKAMISKIN;32.73.24;ARCAMANIK;32.73.24.1001;SUKAMISKIN;6340;1;2017
15;KOTA BANDUNG;3273050;ASTANAANYAR;3273050005;CIBADAK;32.73.10;ASTANA ANYAR;32.73.10.1005;CIBADAK;4255;1;2017
16;KOTA BANDUNG;3273050;ASTANAANYAR;3273050006;KARANG ANYAR;32.73.10;ASTANA ANYAR;32.73.10.1003;KARANGANYAR;2328;1;2017
17;KOTA BANDUNG;3273050;ASTANAANYAR;3273050001;KARASAK;32.73.10;ASTANA ANYAR;32.73.10.1001;KARASAK;4162;1;2017
18;KOTA BANDUNG;3273050;ASTANAANYAR;3273050003;NYENGSERET;32.73.10;ASTANA ANYAR;32.73.10.1002;NYENGSERET;3745;1;2017
19;KOTA BANDUNG;3273050;ASTANAANYAR;3273050004;PANJUNAN;32.73.10;ASTANA ANYAR;32.73.10.1004;PANJUNAN;2308;1;2017
20;KOTA BANDUNG;3273050;ASTANAANYAR;3273050002;PELINDUNG HEWAN;32.73.10;ASTANA ANYAR;32.73.10.1006;PELINDUNG HEWAN;5972;1;2017
21;KOTA BANDUNG;3273020;BABAKAN CIPARAY;3273020005;BABAKAN;32.73.03;BABAKAN CIPARAY;32.73.03.1002;BABAKAN;8712;1;2017
22;KOTA BANDUNG;3273020;BABAKAN CIPARAY;3273020004;BABAKAN CIPARAY;32.73.03;BABAKAN CIPARAY;32.73.03.1001;BABAKAN CIPARAY;9221;1;2017
23;KOTA BANDUNG;3273020;BABAKAN CIPARAY;3273020002;CIRANGRANG;32.73.03;BABAKAN CIPARAY;32.73.03.1006;CIRANGRANG;3231;1;2017
24;KOTA BANDUNG;3273020;BABAKAN CIPARAY;3273020003;MARGAHAYU UTARA;32.73.03;BABAKAN CIPARAY;32.73.03.1004;MARGAHAYU UTARA;6460;1;2017
25;KOTA BANDUNG;3273020;BABAKAN CIPARAY;3273020001;MARGASUKA;32.73.03;BABAKAN CIPARAY;32.73.03.1005;MARGASUKA;3433;1;2017
26;KOTA BANDUNG;3273020;BABAKAN CIPARAY;3273020006;SUKAHAJI;32.73.03;BABAKAN CIPARAY;32.73.03.1003;SUKAHAJI;8840;1;2017
27;KOTA BANDUNG;3273080;BANDUNG KIDUL;3273080003;BATUNUNGGAL;32.73.21;BANDUNG KIDUL;32.73.21.1001;BATUNUNGGAL;5723;1;2017
28;KOTA BANDUNG;3273080;BANDUNG KIDUL;3273080004;KUJANGSARI;32.73.21;BANDUNG KIDUL;32.73.21.1004;KUJANGSARI;6224;1;2017
29;KOTA BANDUNG;3273080;BANDUNG KIDUL;3273080002;MENGGER;32.73.21;BANDUNG KIDUL;32.73.21.1003;MENGGER;3064;1;2017
30;KOTA BANDUNG;3273080;BANDUNG KIDUL;3273080001;WATES;32.73.21;BANDUNG KIDUL;32.73.21.1002;WATES;2467;1;2017
31;KOTA BANDUNG;3273010;BANDUNG KULON;3273010005;CARINGIN;32.73.15;BANDUNG KULON;32.73.15.1004;CARINGIN;2843;1;2017
32;KOTA BANDUNG;3273010;BANDUNG KULON;3273010007;CIBUNTU;32.73.15;BANDUNG KULON;32.73.15.1002;CIBUNTU;5477;1;2017
33;KOTA BANDUNG;3273010;BANDUNG KULON;3273010002;CIGONDEWAH KALER;32.73.15;BANDUNG KULON;32.73.15.1005;CIGONDEWAH KALER;5362;1;2017
34;KOTA BANDUNG;3273010;BANDUNG KULON;3273010003;CIGONDEWAH KIDUL;32.73.15;BANDUNG KULON;32.73.15.1008;CIGONDEWAH KIDUL;2517;1;2017
35;KOTA BANDUNG;3273010;BANDUNG KULON;3273010004;CIGONDEWAH RAHAYU;32.73.15;BANDUNG KULON;32.73.15.1007;CIGONDEWAH RAHAYU;2928;1;2017
36;KOTA BANDUNG;3273010;BANDUNG KULON;3273010008;CIJERAH;32.73.15;BANDUNG KULON;32.73.15.1001;CIJERAH;7110;1;2017
37;KOTA BANDUNG;3273010;BANDUNG KULON;3273010001;GEMPOL SARI;32.73.15;BANDUNG KULON;32.73.15.1006;GEMPOLSARI;6182;1;2017
38;KOTA BANDUNG;3273010;BANDUNG KULON;3273010006;WARUNG MUNCANG;32.73.15;BANDUNG KULON;32.73.15.1003;WARUNG MUNCANG;6167;1;2017
39;KOTA BANDUNG;3273200;BANDUNG WETAN;3273200003;CIHAPIT;32.73.09;BANDUNG WETAN;32.73.09.1001;CIHAPIT;1626;1;2017
40;KOTA BANDUNG;3273200;BANDUNG WETAN;3273200002;CITARUM;32.73.09;BANDUNG WETAN;32.73.09.1003;CITARUM;966;1;2017
41;KOTA BANDUNG;3273200;BANDUNG WETAN;3273200001;TAMAN SARI;32.73.09;BANDUNG WETAN;32.73.09.1002;TAMANSARI;7880;1;2017
42;KOTA BANDUNG;3273160;BATUNUNGGAL;3273160002;BINONG;32.73.12;BATUNUNGGAL;32.73.12.1008;BINONG;5555;1;2017
43;KOTA BANDUNG;3273160;BATUNUNGGAL;3273160005;CIBANGKONG;32.73.12;BATUNUNGGAL;32.73.12.1003;CIBANGKONG;5799;1;2017
44;KOTA BANDUNG;3273160;BATUNUNGGAL;3273160001;GUMURUH;32.73.12;BATUNUNGGAL;32.73.12.1001;GUMURUH;5859;1;2017
45;KOTA BANDUNG;3273160;BATUNUNGGAL;3273160007;KACAPIRING;32.73.12;BATUNUNGGAL;32.73.12.1004;KACAPIRING;2943;1;2017
46;KOTA BANDUNG;3273160;BATUNUNGGAL;3273160003;KEBON GEDANG;32.73.12;BATUNUNGGAL;32.73.12.1006;KEBONGEDANG;3106;1;2017
47;KOTA BANDUNG;3273160;BATUNUNGGAL;3273160008;KEBON WARU;32.73.12;BATUNUNGGAL;32.73.12.1005;KEBONWARU;4587;1;2017
48;KOTA BANDUNG;3273160;BATUNUNGGAL;3273160004;MALEER;32.73.12;BATUNUNGGAL;32.73.12.1002;MALEER;5305;1;2017
49;KOTA BANDUNG;3273160;BATUNUNGGAL;3273160006;SAMOJA;32.73.12;BATUNUNGGAL;32.73.12.1007;SAMOJA;3962;1;2017
50;KOTA BANDUNG;3273030;BOJONGLOA KALER;3273030003;BABAKAN ASIH;32.73.04;BOJONGLOA KALER;32.73.04.1004;BABAKAN ASIH;4944;1;2017
51;KOTA BANDUNG;3273030;BOJONGLOA KALER;3273030004;BABAKAN TAROGONG;32.73.04;BOJONGLOA KALER;32.73.04.1002;BABAKAN TAROGONG;8507;1;2017
52;KOTA BANDUNG;3273030;BOJONGLOA KALER;3273030005;JAMIKA;32.73.04;BOJONGLOA KALER;32.73.04.1003;JAMIKA;8384;1;2017
53;KOTA BANDUNG;3273030;BOJONGLOA KALER;3273030001;KOPO;32.73.04;BOJONGLOA KALER;32.73.04.1001;KOPO;8832;1;2017
54;KOTA BANDUNG;3273030;BOJONGLOA KALER;3273030002;SUKA ASIH;32.73.04;BOJONGLOA KALER;32.73.04.1005;SUKA ASIH;5617;1;2017
55;KOTA BANDUNG;3273040;BOJONGLOA KIDUL;3273040004;CIBADUYUT;32.73.17;BOJONGLOA KIDUL;32.73.17.1003;CIBADUYUT;3517;1;2017
56;KOTA BANDUNG;3273040;BOJONGLOA KIDUL;3273040001;CIBADUYUT KIDUL;32.73.17;BOJONGLOA KIDUL;32.73.17.1005;CIBADUYUT KIDUL;2586;1;2017
57;KOTA BANDUNG;3273040;BOJONGLOA KIDUL;3273040002;CIBADUYUT WETAN;32.73.17;BOJONGLOA KIDUL;32.73.17.1006;CIBADUYUT WETAN;2247;1;2017
58;KOTA BANDUNG;3273040;BOJONGLOA KIDUL;3273040005;KEBON LEGA;32.73.17;BOJONGLOA KIDUL;32.73.17.1002;KEBON LEGA;7179;1;2017
59;KOTA BANDUNG;3273040;BOJONGLOA KIDUL;3273040003;MEKAR WANGI;32.73.17;BOJONGLOA KIDUL;32.73.17.1004;MEKARWANGI;2999;1;2017
60;KOTA BANDUNG;3273040;BOJONGLOA KIDUL;3273040006;SITUSAEUR;32.73.17;BOJONGLOA KIDUL;32.73.17.1001;SITUSAEUR;6502;1;2017
61;KOTA BANDUNG;3273090;BUAHBATU;3273090001;CIJAURA;32.73.22;BUAHBATU;32.73.22.1003;CIJAURA;8089;1;2017
62;KOTA BANDUNG;3273090;BUAHBATU;3273090004;JATI SARI;32.73.22;BUAHBATU;32.73.22.1004;JATISARI;2694;1;2017
63;KOTA BANDUNG;3273090;BUAHBATU;3273090002;MARGASARI;32.73.22;BUAHBATU;32.73.22.1002;MARGASARI;11425;1;2017
64;KOTA BANDUNG;3273090;BUAHBATU;3273090003;SEKEJATI;32.73.22;BUAHBATU;32.73.22.1001;SEKEJATI;7925;1;2017
65;KOTA BANDUNG;3273220;CIBEUNYING KALER;3273220004;CIGADUNG;32.73.18;CIBEUNYING KALER;32.73.18.1004;CIGADUNG;9320;1;2017
66;KOTA BANDUNG;3273220;CIBEUNYING KALER;3273220001;CIHAURGEULIS;32.73.18;CIBEUNYING KALER;32.73.18.1001;CIHAUR GEULIS;3962;1;2017
67;KOTA BANDUNG;3273220;CIBEUNYING KALER;3273220003;NEGLASARI;32.73.18;CIBEUNYING KALER;32.73.18.1003;NEGLASARI;2956;1;2017
68;KOTA BANDUNG;3273220;CIBEUNYING KALER;3273220002;SUKALUYU;32.73.18;CIBEUNYING KALER;32.73.18.1002;SUKALUYU;5052;1;2017
69;KOTA BANDUNG;3273210;CIBEUNYING KIDUL;3273210002;CICADAS;32.73.14;CIBEUNYING KIDUL;32.73.14.1003;CICADAS;4905;1;2017
70;KOTA BANDUNG;3273210;CIBEUNYING KIDUL;3273210003;CIKUTRA;32.73.14;CIBEUNYING KIDUL;32.73.14.1002;CIKUTRA;7110;1;2017
71;KOTA BANDUNG;3273210;CIBEUNYING KIDUL;3273210004;PADASUKA;32.73.14;CIBEUNYING KIDUL;32.73.14.1001;PADASUKA;5321;1;2017
72;KOTA BANDUNG;3273210;CIBEUNYING KIDUL;3273210005;PASIRLAYUNG;32.73.14;CIBEUNYING KIDUL;32.73.14.1006;PASIRLAYUNG;6620;1;2017
73;KOTA BANDUNG;3273210;CIBEUNYING KIDUL;3273210001;SUKAMAJU;32.73.14;CIBEUNYING KIDUL;32.73.14.1004;SUKAMAJU;3670;1;2017
74;KOTA BANDUNG;3273210;CIBEUNYING KIDUL;3273210006;SUKAPADA;32.73.14;CIBEUNYING KIDUL;32.73.14.1005;SUKAPADA;6618;1;2017
75;KOTA BANDUNG;3273110;CIBIRU;3273110004;CIPADUNG;32.73.25;CIBIRU;32.73.25.1002;CIPADUNG;6745;1;2017
76;KOTA BANDUNG;3273110;CIBIRU;3273110006;CISURUPAN;32.73.25;CIBIRU;32.73.25.1004;CISURUPAN;8376;1;2017
77;KOTA BANDUNG;3273110;CIBIRU;3273110005;PALASARI;32.73.25;CIBIRU;32.73.25.1001;PALASARI;6594;1;2017
78;KOTA BANDUNG;3273110;CIBIRU;3273110003;PASIR BIRU;32.73.25;CIBIRU;32.73.25.1003;PASIR BIRU;156;1;2017
79;KOTA BANDUNG;3273190;CICENDO;3273190001;ARJUNA;32.73.06;CICENDO;32.73.06.1002;ARJUNA;4703;1;2017
80;KOTA BANDUNG;3273190;CICENDO;3273190005;HUSEN SASTRANEGARA;32.73.06;CICENDO;32.73.06.1001;HUSEN SASTRANEGARA;4849;1;2017
81;KOTA BANDUNG;3273190;CICENDO;3273190004;PAJAJARAN;32.73.06;CICENDO;32.73.06.1003;PAJAJARAN;7644;1;2017
82;KOTA BANDUNG;3273190;CICENDO;3273190003;PAMOYANAN;32.73.06;CICENDO;32.73.06.1005;PAMOYANAN;2765;1;2017
83;KOTA BANDUNG;3273190;CICENDO;3273190002;PASIRKALIKI;32.73.06;CICENDO;32.73.06.1004;PASIR KALIKI;3024;1;2017
84;KOTA BANDUNG;3273190;CICENDO;3273190006;SUKARAJA;32.73.06;CICENDO;32.73.06.1006;SUKARAJA;6861;1;2017
85;KOTA BANDUNG;3273260;CIDADAP;3273260002;CIUMBULEUIT;32.73.08;CIDADAP;32.73.08.1002;CIUMBULEUIT;6681;1;2017
86;KOTA BANDUNG;3273260;CIDADAP;3273260001;HEGARMANAH;32.73.08;CIDADAP;32.73.08.1001;HEGARMANAH;6360;1;2017
87;KOTA BANDUNG;3273260;CIDADAP;3273260003;LEDENG;32.73.08;CIDADAP;32.73.08.1003;LEDENG;3221;1;2017
88;KOTA BANDUNG;3273121;CINAMBO;3273121002;BABAKAN PENGHULU;32.73.29;CINAMBO;32.73.29.1004;BABAKAN PENGHULU;2096;1;2017
89;KOTA BANDUNG;3273121;CINAMBO;3273121001;CISARANTEN WETAN;32.73.29;CINAMBO;32.73.29.1001;CISARANTEN WETAN;1718;1;2017
90;KOTA BANDUNG;3273121;CINAMBO;3273121003;PAKEMITAN;32.73.29;CINAMBO;32.73.29.1002;PAKEMITAN;1999;1;2017
91;KOTA BANDUNG;3273121;CINAMBO;3273121004;SUKAMULYA;32.73.29;CINAMBO;32.73.29.1003;SUKAMULYA;1720;1;2017
92;KOTA BANDUNG;3273230;COBLONG;3273230001;CIPAGANTI;32.73.02;COBLONG;32.73.02.1001;CIPAGANTI;3929;1;2017
93;KOTA BANDUNG;3273230;COBLONG;3273230006;DAGO;32.73.02;COBLONG;32.73.02.1004;DAGO;10416;1;2017
94;KOTA BANDUNG;3273230;COBLONG;3273230002;LEBAK SILIWANGI;32.73.02;COBLONG;32.73.02.1006;LEBAK SILIWANGI;1346;1;2017
95;KOTA BANDUNG;3273230;COBLONG;3273230003;LEBAK GEDE;32.73.02;COBLONG;32.73.02.1002;LEBAKGEDE;3514;1;2017
96;KOTA BANDUNG;3273230;COBLONG;3273230004;SADANG SERANG;32.73.02;COBLONG;32.73.02.1003;SADANGSERANG;8534;1;2017
97;KOTA BANDUNG;3273230;COBLONG;3273230005;SEKELOA;32.73.02;COBLONG;32.73.02.1005;SEKELOA;8559;1;2017
98;KOTA BANDUNG;3273101;GEDEBAGE;3273101004;CIMINCRANG;32.73.27;GEDEBAGE;32.73.27.1001;CIMENERANG;7215;1;2017
99;KOTA BANDUNG;3273101;GEDEBAGE;3273101003;CISARANTEN KIDUL;32.73.27;GEDEBAGE;32.73.27.1002;CISANTREN KIDUL;49;1;2017
100;KOTA BANDUNG;3273101;GEDEBAGE;3273101001;RANCABOLANG;32.73.27;GEDEBAGE;32.73.27.1003;RANCABOLANG;2923;1;2017
101;KOTA BANDUNG;3273101;GEDEBAGE;3273101002;RANCANUMPANG;32.73.27;GEDEBAGE;32.73.27.1004;RANCANUMPANG;1297;1;2017
102;KOTA BANDUNG;3273150;KIARACONDONG;3273150005;BABAKAN SURABAYA;32.73.16;KIARACONDONG;32.73.16.1003;BABAKAN SURABAYA;5850;1;2017
103;KOTA BANDUNG;3273150;KIARACONDONG;3273150004;BABAKAN SARI;32.73.16;KIARACONDONG;32.73.16.1005;BABAKANSARI;11433;1;2017
104;KOTA BANDUNG;3273150;KIARACONDONG;3273150006;CICAHEUM;32.73.16;KIARACONDONG;32.73.16.1004;CICAHEUM;5093;1;2017
105;KOTA BANDUNG;3273150;KIARACONDONG;3273150003;KEBON JAYANTI;32.73.16;KIARACONDONG;32.73.16.1002;KEBON JAYANTI;4044;1;2017
106;KOTA BANDUNG;3273150;KIARACONDONG;3273150001;KEBON KANGKUNG;32.73.16;KIARACONDONG;32.73.16.1006;KEBON KANGKUNG;3969;1;2017
107;KOTA BANDUNG;3273150;KIARACONDONG;3273150002;SUKAPURA;32.73.16;KIARACONDONG;32.73.16.1001;SUKAPURA;7917;1;2017
108;KOTA BANDUNG;3273070;LENGKONG;3273070005;BURANGRANG;32.73.13;LENGKONG;32.73.13.1003;BURANGRANG;3278;1;2017
109;KOTA BANDUNG;3273070;LENGKONG;3273070001;CIJAGRA;32.73.13;LENGKONG;32.73.13.1001;CIJAGRA;3986;1;2017
110;KOTA BANDUNG;3273070;LENGKONG;3273070006;CIKAWAO;32.73.13;LENGKONG;32.73.13.1007;CIKAWAO;2850;1;2017
111;KOTA BANDUNG;3273070;LENGKONG;3273070003;LINGKAR SELATAN;32.73.13;LENGKONG;32.73.13.1002;LINGKAR SELATAN;3599;1;2017
112;KOTA BANDUNG;3273070;LENGKONG;3273070004;MALABAR;32.73.13;LENGKONG;32.73.13.1006;MALABAR;2813;1;2017
113;KOTA BANDUNG;3273070;LENGKONG;3273070007;PALEDANG;32.73.13;LENGKONG;32.73.13.1004;PALEDANG;2136;1;2017
114;KOTA BANDUNG;3273070;LENGKONG;3273070002;TURANGGA;32.73.13;LENGKONG;32.73.13.1005;TURANGGA;4669;1;2017
115;KOTA BANDUNG;3273142;MANDALAJATI;3273142001;JATIHANDAP;32.73.30;MANDALAJATI;32.73.30.1001;JATIHANDAP;7874;1;2017
116;KOTA BANDUNG;3273142;MANDALAJATI;3273142002;KARANG PAMULANG;32.73.30;MANDALAJATI;32.73.30.1002;KARANG PAMULANG;5210;1;2017
117;KOTA BANDUNG;3273142;MANDALAJATI;3273142004;PASIR IMPUN;32.73.30;MANDALAJATI;32.73.30.1003;PASIR IMPUN;3547;1;2017
118;KOTA BANDUNG;3273142;MANDALAJATI;3273142003;SINDANG JAYA;32.73.30;MANDALAJATI;32.73.30.1004;SINDANG JAYA;4119;1;2017
119;KOTA BANDUNG;3273111;PANYILEUKAN;3273111002;CIPADUNG KIDUL;32.73.28;PANYILEUKAN;32.73.28.1002;CIPADUNG KIDUL;4213;1;2017
120;KOTA BANDUNG;3273111;PANYILEUKAN;3273111004;CIPADUNG KULON;32.73.28;PANYILEUKAN;32.73.28.1001;CIPADUNG KULON;3802;1;2017
121;KOTA BANDUNG;3273111;PANYILEUKAN;3273111003;CIPADUNG WETAN;32.73.28;PANYILEUKAN;32.73.28.1003;CIPADUNG WETAN;1040;1;2017
122;KOTA BANDUNG;3273111;PANYILEUKAN;3273111001;MEKAR MULYA;32.73.28;PANYILEUKAN;32.73.28.1004;MEKAR MULYA;2111;1;2017
123;KOTA BANDUNG;3273100;RANCASARI;3273100002;CIPAMOKOLAN;32.73.23;RANCASARI;32.73.23.1001;CIPAMOKOLAN;6867;1;2017
124;KOTA BANDUNG;3273100;RANCASARI;3273100001;DERWATI;32.73.23;RANCASARI;32.73.23.1002;DERWATI;5250;1;2017
125;KOTA BANDUNG;3273100;RANCASARI;3273111001;MEKAR MULYA;32.73.23;RANCASARI;32.73.28.1004;MEKAR MULYA;5188;1;2017
126;KOTA BANDUNG;3273100;RANCASARI;3273100005;MANJAHLEGA;32.73.23;RANCASARI;32.73.23.1003;MANJAHLEGA;7275;1;2017
127;KOTA BANDUNG;3273060;REGOL;3273060003;ANCOL;32.73.11;REGOL;32.73.11.1002;ANCOL;3674;1;2017
128;KOTA BANDUNG;3273060;REGOL;3273060007;BALONG GEDE;32.73.11;REGOL;32.73.11.1004;BALONGGEDE;2852;1;2017
129;KOTA BANDUNG;3273060;REGOL;3273060005;CIATEUL;32.73.11;REGOL;32.73.11.1006;CIATEUL;2591;1;2017
130;KOTA BANDUNG;3273060;REGOL;3273060004;CIGERELENG;32.73.11;REGOL;32.73.11.1001;CIGERELENG;3752;1;2017
131;KOTA BANDUNG;3273060;REGOL;3273060001;CISEUREUH;32.73.11;REGOL;32.73.11.1005;CISEUREUH;5148;1;2017
132;KOTA BANDUNG;3273060;REGOL;3273060002;PASIRLUYU;32.73.11;REGOL;32.73.11.1007;PASIRLUYU;5001;1;2017
133;KOTA BANDUNG;3273060;REGOL;3273060006;PUNGKUR;32.73.11;REGOL;32.73.11.1003;PUNGKUR;2719;1;2017
134;KOTA BANDUNG;3273240;SUKAJADI;3273240004;CIPEDES;32.73.07;SUKAJADI;32.73.07.1002;CIPEDES;8675;1;2017
135;KOTA BANDUNG;3273240;SUKAJADI;3273240005;PASTEUR;32.73.07;SUKAJADI;32.73.07.1001;PASTEUR;5700;1;2017
136;KOTA BANDUNG;3273240;SUKAJADI;3273240003;SUKABUNGAH;32.73.07;SUKAJADI;32.73.07.1005;SUKABUNGAH;6667;1;2017
137;KOTA BANDUNG;3273240;SUKAJADI;3273240002;SUKAGALIH;32.73.07;SUKAJADI;32.73.07.1004;SUKAGALIH;5460;1;2017
138;KOTA BANDUNG;3273240;SUKAJADI;3273240001;SUKAWARNA;32.73.07;SUKAJADI;32.73.07.1003;SUKAWARNA;4204;1;2017
139;KOTA BANDUNG;3273250;SUKASARI;3273250003;GEGERKALONG;32.73.01;SUKASARI;32.73.01.1002;GEGERKALONG;7217;1;2017
140;KOTA BANDUNG;3273250;SUKASARI;3273250004;ISOLA;32.73.01;SUKASARI;32.73.01.1003;ISOLA;3958;1;2017
141;KOTA BANDUNG;3273250;SUKASARI;3273250001;SARIJADI;32.73.01;SUKASARI;32.73.01.1004;SARIJADI;8348;1;2017
142;KOTA BANDUNG;3273250;SUKASARI;3273250002;SUKARASA;32.73.01;SUKASARI;32.73.01.1001;SUKARASA;3984;1;2017
143;KOTA BANDUNG;3273170;SUMUR BANDUNG;3273170004;BABAKAN CIAMIS;32.73.19;SUMUR BANDUNG;32.73.19.1004;BABAKAN CIAMIS;2574;1;2017
144;KOTA BANDUNG;3273170;SUMUR BANDUNG;3273170001;BRAGA;32.73.19;SUMUR BANDUNG;32.73.19.1001;BRAGA;1927;1;2017
145;KOTA BANDUNG;3273170;SUMUR BANDUNG;3273170002;KEBON PISANG;32.73.19;SUMUR BANDUNG;32.73.19.1003;KEBON PISANG;3723;1;2017
146;KOTA BANDUNG;3273170;SUMUR BANDUNG;3273170003;MERDEKA;32.73.19;SUMUR BANDUNG;32.73.19.1002;MERDEKA;3020;1;2017
147;KOTA BANDUNG;3273120;UJUNG BERUNG;3273120006;CIGENDING;32.73.26;UJUNGBERUNG;32.73.26.1004;CIGENDING;9638;1;2017
148;KOTA BANDUNG;3273120;UJUNG BERUNG;3273120003;PASANGGRAHAN;32.73.26;UJUNGBERUNG;32.73.26.1007;PASANGGRAHAN;5533;1;2017
149;KOTA BANDUNG;3273120;UJUNG BERUNG;3273120007;PASIR ENDAH;32.73.26;UJUNGBERUNG;32.73.26.1003;PASIR ENDAH;4654;1;2017
150;KOTA BANDUNG;3273120;UJUNG BERUNG;3273120004;PASIRJATI;32.73.26;UJUNGBERUNG;32.73.26.1006;PASIRJATI;182;1;2017
151;KOTA BANDUNG;3273120;UJUNG BERUNG;3273120005;PASIR WANGI;32.73.26;UJUNGBERUNG;32.73.26.1005;PASIRWANGI;4491;1;2017
152;KOTA BANDUNG;3273180;ANDIR;3273180001;CAMPAKA;32.73.05;ANDIR;32.73.05.1006;CAMPAKA;5580;2;2017
153;KOTA BANDUNG;3273180;ANDIR;3273180005;CIROYOM;32.73.05;ANDIR;32.73.05.1003;CIROYOM;6232;2;2017
154;KOTA BANDUNG;3273180;ANDIR;3273180004;DUNGUS CARIANG;32.73.05;ANDIR;32.73.05.1002;DUNGUS CARIANG;6198;2;2017
155;KOTA BANDUNG;3273180;ANDIR;3273180003;GARUDA;32.73.05;ANDIR;32.73.05.1005;GARUDA;3438;2;2017
156;KOTA BANDUNG;3273180;ANDIR;3273180006;KEBON JERUK;32.73.05;ANDIR;32.73.05.1004;KEBON JERUK;4627;2;2017
157;KOTA BANDUNG;3273180;ANDIR;3273180002;MALEBER;32.73.05;ANDIR;32.73.05.1001;MALEBER;6485;2;2017
158;KOTA BANDUNG;3273141;ANTAPANI;3273141001;ANTAPANI KIDUL;32.73.20;ANTAPANI;32.73.20.1005;ANTAPANI KIDUL;7568;2;2017
159;KOTA BANDUNG;3273141;ANTAPANI;3273141004;ANTAPANI KULON;32.73.20;ANTAPANI;32.73.20.1001;ANTAPANI KULON;3247;2;2017
160;KOTA BANDUNG;3273141;ANTAPANI;3273141002;ANTAPANI TENGAH;32.73.20;ANTAPANI;32.73.20.1004;ANTAPANI TENGAH;7030;2;2017
161;KOTA BANDUNG;3273141;ANTAPANI;3273141003;ANTAPANI WETAN;32.73.20;ANTAPANI;32.73.20.1006;ANTAPANI WETAN;5467;2;2017
162;KOTA BANDUNG;3273130;ARCAMANIK;3273130002;CISARANTEN BINA HARAPAN;32.73.24;ARCAMANIK;32.73.24.1002;CISARANTEN BINA HARAPAN;3652;2;2017
163;KOTA BANDUNG;3273130;ARCAMANIK;3273130005;CISARANTEN ENDAH;32.73.24;ARCAMANIK;32.73.24.1004;CISARANTEN ENDAH;5614;2;2017
164;KOTA BANDUNG;3273130;ARCAMANIK;3273130001;CISARANTEN KULON;32.73.24;ARCAMANIK;32.73.24.1003;CISARANTEN KULON;6657;2;2017
165;KOTA BANDUNG;3273130;ARCAMANIK;3273130003;SUKAMISKIN;32.73.24;ARCAMANIK;32.73.24.1001;SUKAMISKIN;6508;2;2017
166;KOTA BANDUNG;3273050;ASTANAANYAR;3273050005;CIBADAK;32.73.10;ASTANA ANYAR;32.73.10.1005;CIBADAK;4343;2;2017
167;KOTA BANDUNG;3273050;ASTANAANYAR;3273050006;KARANG ANYAR;32.73.10;ASTANA ANYAR;32.73.10.1003;KARANGANYAR;2372;2;2017
168;KOTA BANDUNG;3273050;ASTANAANYAR;3273050001;KARASAK;32.73.10;ASTANA ANYAR;32.73.10.1001;KARASAK;4254;2;2017
169;KOTA BANDUNG;3273050;ASTANAANYAR;3273050003;NYENGSERET;32.73.10;ASTANA ANYAR;32.73.10.1002;NYENGSERET;3836;2;2017
